Date,Open,Close,Volume
2024-01-01,102.84496637056458,102.48357076505616,4112
2024-01-02,100.84671506061005,99.30867849414408,2180
2024-01-03,103.20261665139351,103.23844269050346,3062
2024-01-04,109.17979293785413,107.61514928204012,4884
2024-01-05,96.20948802229357,98.82923312638331,1064
2024-01-08,99.65121771962932,98.8293152152541,4928
2024-01-09,107.98311114577514,107.89606407753696,4910
2024-01-10,103.53816629529868,103.83717364576455,3568
2024-01-11,97.74438884686074,97.65262807032524,2367
2024-01-12,100.72523130332893,102.71280021792982,2152
2024-01-15,97.46323964810018,97.68291153593769,3027
2024-01-16,98.02846380366046,97.67135123214871,3695
2024-01-17,102.6877054025717,101.20981135783018,2495
2024-01-18,89.91532855843737,90.43359877671101,4134
2024-01-19,90.56691723454165,91.37541083743484,2162
2024-01-22,96.6868053102106,97.18856235379513,2522
2024-01-23,95.85124651602996,94.93584439832789,3640
2024-01-24,101.89998777263605,101.57123666297637,1391
2024-01-25,94.9301194186269,95.45987962239394,2698
2024-01-26,93.45174892643689,92.93848149332354,1418
2024-01-29,107.42532139395581,107.32824384460777,3336
2024-01-30,99.83976348810022,98.87111849756732,1378
2024-01-31,99.63558792956226,100.33764102343962,2796
2024-02-01,92.54859692233494,92.87625906893271,4561
2024-02-02,96.88597822424192,97.27808637737408,3278
2024-02-05,99.09109800041722,100.55461294854933,4065
2024-02-06,94.54115238995306,94.24503211288848,3088
2024-02-07,102.13954536390825,101.87849009172837,4099
2024-02-08,97.00192000704844,96.99680655040598,3182
2024-02-09,98.30694411765847,98.54153125103362,1200
2024-02-12,95.5760961968026,96.99146693885301,2863
2024-02-13,108.84074559977934,109.26139092254469,1779
2024-02-14,99.58979935978356,99.93251387631032,3977
2024-02-15,93.90916808599887,94.71144535522049,4104
2024-02-16,103.95143884884993,104.11272456051594,4119
2024-02-19,94.29983260695943,93.89578175014489,1502
2024-02-20,102.9305038762343,101.04431797502377,3454
2024-02-21,90.37622719343297,90.20164938060113,4645
2024-02-22,93.61662014623062,93.35906975550785,2751
2024-02-23,100.90986026357946,100.98430617934562,1804
2024-02-26,101.773561684678,103.69233289997705,3146
2024-02-27,100.83032753050064,100.85684140594985,3731
2024-02-28,99.48198879799982,99.4217585880588,2895
2024-02-29,100.95772363453885,98.49448152205356,3773
2024-03-01,92.41502908338175,92.60739004816287,2570
2024-03-04,96.70232630036006,96.40077895802645,1960
2024-03-05,97.66209437549583,97.69680614520107,4810
2024-03-06,104.11693309347505,105.28561113109458,3660
2024-03-07,102.86091426235733,101.71809144784231,2485
2024-03-08,91.93673225587311,91.18479922318633,3690
